"행정구역시도코드","가구총소득구간코드","피곤함정도코드","삶만족도코드","(주행동시간량_921) 출근","(주행동시간량_922) 퇴근"
11,,1,4,50,20
11,,1,4,50,40
11,,1,4,50,50
11,,1,4,50,60
11,,1,4,50,60
11,,1,4,50,60
11,,1,4,50,70
11,,1,4,60,20
11,,1,4,60,30
11,,1,4,60,30
11,,1,4,60,30
11,,1,4,60,50
11,,1,4,60,50
11,,1,4,60,60
11,,1,4,60,70
11,,1,4,70,30
11,,1,4,70,60
11,,1,4,70,60
11,,1,4,70,70
11,,1,4,70,70
11,,1,4,80,120
11,,1,4,80,70
11,,1,4,80,70
11,,1,4,90,120
11,,1,4,90,90
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,0
11,,1,5,0,20
11,,1,5,20,10
11,,1,5,20,20
11,,1,5,20,30
11,,1,5,30,0
11,,1,5,30,30
11,,1,5,30,60
11,,1,5,40,10
11,,1,5,40,40
11,,1,5,60,30
11,,1,5,60,50
11,,1,5,70,40
